position,player_number,name,status,stat1,stat1_val,stat2,stat2_val,stat3,stat3_val,stat4,stat4_val,team
CB,23.0,"Slay, Darius",ACT,TCKL,59,SCK,0,FF,0,INT,2,DET
DE,93.0,"Smith, Quanterus",ACT,TCKL,--,SCK,--,FF,--,INT,--,DET
WR,18.0,"Spadola, Ryan",RES,REC,--,YDS,--,AVG,--,TDS,--,DET
QB,9.0,"Stafford, Matthew",ACT,TDS,32,INT,13,YDS,4262,RTG,97,DET
WR,15.0,"Tate, Golden",ACT,REC,90,YDS,813,AVG,9,TDS,6,DET
DE,98.0,"Taylor, Devin",ACT,TCKL,35,SCK,7,FF,1,INT,--,DET
DT,99.0,"Thornton, Khyri",ACT,TCKL,5,SCK,0,FF,0,INT,0,DET
LB,46.0,"Tovell, Dominique",ACT,TCKL,--,SCK,--,FF,--,INT,--,DET
OLB,53.0,"Van Noy, Kyle",ACT,TCKL,10,SCK,1,FF,0,INT,--,DET
DT,93.0,"Walker, Tyrunn",ACT,TCKL,9,SCK,0,FF,0,INT,--,DET
DB,30.0,"Walls, Darrin",ACT,TCKL,10,SCK,0,FF,0,INT,--,DET
DB,45.0,"Washington, Charles",ACT,TCKL,--,SCK,--,FF,--,INT,--,DET
RB,36.0,"Washington, Dwayne",ACT,CAR,--,YDS,--,AVG,--,TDS,--,DET
CB,40.0,"Wells, Ian",RES,TCKL,--,SCK,--,FF,--,INT,--,DET
OLB,59.0,"Whitehead, Tahir",ACT,TCKL,50,SCK,2,FF,0,INT,1,DET
TE,89.0,"Wick, Cole",ACT,REC,--,YDS,--,AVG,--,TDS,--,DET
LB,52.0,"Williams, Antwione",ACT,TCKL,--,SCK,--,FF,--,INT,--,DET
DB,32.0,"Wilson, Tavon",ACT,TCKL,13,SCK,0,FF,0,INT,--,DET
RB,38.0,"Winn, George",ACT,CAR,4,YDS,1,AVG,0.3,TDS,0,DET
DT,90.0,"Wright, Gabe",ACT,TCKL,6,SCK,0,FF,0,INT,--,DET
TE,83.0,"Wright, Timothy",RES,REC,9,YDS,77,AVG,8.6,TDS,2,DET
FB,34.0,"Zenner, Zach",ACT,CAR,17,YDS,60,AVG,3.5,TDS,0,DET
DT,69.0,"Zettel, Anthony",ACT,TCKL,--,SCK,--,FF,--,INT,--,DET
WR,84.0,"Abbrederis, Jared",ACT,REC,9,YDS,111,AVG,12.3,TDS,0,GB
WR,17.0,"Adams, Davante",ACT,REC,50,YDS,483,AVG,9.7,TDS,1,GB
WR,81.0,"Allison, Geronimo",ACT,REC,--,YDS,--,AVG,--,TDS,--,GB
DT,60.0,"Anderson, Demetris",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
TE,86.0,"Backman, Kennard",ACT,REC,--,YDS,--,AVG,--,TDS,--,GB
CB,32.0,"Banjo, Chris",ACT,TCKL,16,SCK,0,FF,0,INT,--,GB
ILB,58.0,"Barrington, Sam",ACT,TCKL,1,SCK,0,FF,0,INT,--,GB
WR,13.0,"Binford, Harvey",ACT,REC,--,YDS,--,AVG,--,TDS,--,GB
OLB,54.0,"Bradford, Carl",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
DB,29.0,"Brice, Kentrell",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
OLB,43.0,"Brown, Beniquez",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
RB,34.0,"Burks, Brandon",ACT,CAR,--,YDS,--,AVG,--,TDS,--,GB
SS,42.0,"Burnett, Morgan",ACT,TCKL,68,SCK,0,FF,2,INT,--,GB
QB,6.0,"Callahan, Joe",ACT,TDS,--,INT,--,YDS,--,RTG,--,GB
NT,97.0,"Clark, Kenny",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
FS,21.0,"Clinton-Dix, Ha Ha",ACT,TCKL,100,SCK,3,FF,1,INT,2,GB
WR,18.0,"Cobb, Randall",ACT,REC,79,YDS,829,AVG,10.5,TDS,6,GB
TE,89.0,"Cook, Jared",ACT,REC,39,YDS,481,AVG,12.3,TDS,0,GB
RB,38.0,"Crockett, John",ACT,CAR,9,YDS,21,AVG,2.3,TDS,0,GB
K,2.0,"Crosby, Mason",ACT,FGA,28,FGM,24,PCT,85.7,LNG,56,GB
DB,31.0,"Daniel, Robertson",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
DE,76.0,"Daniels, Mike",ACT,TCKL,49,SCK,4,FF,1,INT,1,GB
WR,11.0,"Davis, Trevor",ACT,REC,--,YDS,--,AVG,--,TDS,--,GB
DB,20.0,"Dorleant, Makinton",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
LB,91.0,"Elliott, Jay",ACT,TCKL,24,SCK,3,FF,1,INT,1,GB
DB,25.0,"Evans, Marwin",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
OLB,51.0,"Fackrell, Kyler",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
DB,26.0,"Gatewood, Warren",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
LB,93.0,"Gilbert, Reggie",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
CB,39.0,"Goodson, Demetri",ACT,TCKL,10,SCK,0,FF,0,INT,--,GB
DE,98.0,"Guion, Letroy",ACT,TCKL,21,SCK,0,FF,0,INT,--,GB
CB,36.0,"Gunter, LaDarius",ACT,TCKL,2,SCK,0,FF,0,INT,--,GB
CB,28.0,"Hawkins, Josh",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
TE,85.0,"Henry, Mitchell",ACT,REC,--,YDS,--,AVG,--,TDS,--,GB
QB,7.0,"Hundley, Brett",ACT,TDS,--,INT,--,YDS,--,RTG,0,GB
SS,33.0,"Hyde, Micah",ACT,TCKL,55,SCK,1,FF,0,INT,3,GB
WR,83.0,"Janis, Jeff",ACT,REC,2,YDS,79,AVG,39.5,TDS,0,GB
CB,41.0,"Jette, Randall",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
WR,10.0,"Johnson, Jamel",ACT,REC,--,YDS,--,AVG,--,TDS,--,GB
DE,95.0,"Jones, Datone",ACT,TCKL,20,SCK,3,FF,0,INT,--,GB
DT,90.0,"Kuder, Tyler",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
RB,27.0,"Lacy, Eddie",ACT,CAR,187,YDS,758,AVG,4.1,TDS,3,GB
DE,94.0,"Lowry, Dean",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
ILB,50.0,"Martinez, Blake",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
P,8.0,"Masthay, Tim",ACT,PUNTS,81,AVG,43.9,LNG,62,IN 20,18,GB
LB,45.0,"Mathews, Derrick",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
ILB,52.0,"Matthews, Clay",ACT,TCKL,66,SCK,6.5,FF,0,INT,1,GB
LB,55.0,"McCray, Lerentee",ACT,TCKL,15,SCK,0.5,FF,0,INT,--,GB
WR,88.0,"Montgomery, Ty",ACT,REC,15,YDS,136,AVG,9.1,TDS,2,GB
P,1.0,"Mortell, Peter",ACT,PUNTS,--,AVG,--,LNG,--,IN 20,--,GB
WR,87.0,"Nelson, Jordy",ACT,REC,--,YDS,--,AVG,--,TDS,--,GB
DE,64.0,"Pennel, Mike",ACT,TCKL,25,SCK,1,FF,1,INT,--,GB
OLB,56.0,"Peppers, Julius",ACT,TCKL,37,SCK,10.5,FF,2,INT,--,GB
TE,80.0,"Perillo, Justin",ACT,REC,11,YDS,102,AVG,9.3,TDS,1,GB
OLB,53.0,"Perry, Nick",ACT,TCKL,31,SCK,3.5,FF,1,INT,--,GB
TE,49.0,"Pierce, Casey",ACT,REC,--,YDS,--,AVG,--,TDS,--,GB
DT,96.0,"Price, Brian",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
CB,23.0,"Randall, Damarious",ACT,TCKL,58,SCK,0,FF,0,INT,3,GB
DE,99.0,"Ringo, Christian",ACT,TCKL,--,SCK,--,FF,--,INT,--,GB
FB,22.0,"Ripkowski, Aaron",ACT,CAR,--,YDS,--,AVG,--,TDS,--,GB
QB,12.0,"Rodgers, Aaron",ACT,TDS,31,INT,8,YDS,3821,RTG,92.7,GB
TE,82.0,"Rodgers, Richard",ACT,REC,58,YDS,510,AVG,8.8,TDS,8,GB
CB,24.0,"Rollins, Quinten",ACT,TCKL,31,SCK,1,FF,0,INT,2,GB
RB,46.0,"Ross, Brandon",ACT,CAR,--,YDS,--,AVG,--,TDS,--,GB
ILB,47.0,"Ryan, Jake",ACT,TCKL,50,SCK,0,FF,0,INT,--,GB
CB,37.0,"Shields, Sam",ACT,TCKL,39,SCK,0,FF,0,INT,3,GB
RB,40.0,"Squirewell, Alstevis",ACT,CAR,--,YDS,--,AVG,--,TDS,--,GB
RB,44.0,"Starks, James",ACT,CAR,148,YDS,601,AVG,4.1,TDS,2,GB
LB,48.0,"Thomas, Joe",ACT,TCKL,26,SCK,1,FF,1,INT,--,GB
WR,16.0,"Waters, Herb",ACT,REC,--,YDS,--,AVG,--,TDS,--,GB
FS,35.0,"Whitehead, Jermaine",ACT,TCKL,0,SCK,--,FF,--,INT,--,GB
WR,19.0,"Williams, Ed",ACT,REC,--,YDS,--,AVG,--,TDS,--,GB
QB,9.0,"Williams, Marquise",ACT,TDS,--,INT,--,YDS,--,RTG,--,GB
CB,20.0,"Alexander, Mackensie",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIN
RB,44.0,"Asiata, Matt",ACT,CAR,29,YDS,112,AVG,3.9,TDS,0,MIN
OLB,55.0,"Barr, Anthony",ACT,TCKL,68,SCK,3.5,FF,3,INT,1,MIN
WR,81.0,"Boehringer, Moritz",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIN
QB,5.0,"Bridgewater, Teddy",ACT,TDS,14,INT,9,YDS,3231,RTG,88.7,MIN
OLB,40.0,"Brothers, Kentrell",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIN
TE,86.0,"Carter, Kyle",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIN
DE,67.0,"Cockran, Theiren",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIN
MLB,57.0,"Cole, Audie",ACT,TCKL,3,SCK,0,FF,0,INT,--,MIN
DE,95.0,"Crichton, Scott",ACT,TCKL,8,SCK,0,FF,0,INT,--,MIN
WR,14.0,"Diggs, Stefon",ACT,REC,52,YDS,720,AVG,13.8,TDS,4,MIN
DT,66.0,"Ellis, Kenrick",ACT,TCKL,5,SCK,0,FF,0,INT,0,MIN
TE,85.0,"Ellison, Rhett",ACT,REC,11,YDS,124,AVG,11.3,TDS,1,MIN
CB,32.0,"Exum, Antone",ACT,TCKL,13,SCK,0,FF,1,INT,--,MIN
DT,73.0,"Floyd, Sharrif",ACT,TCKL,34,SCK,2.5,FF,0,INT,--,MIN
WR,15.0,"Fruechte, Isaac",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIN
ILB,56.0,"Ganus, Jake",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIN
OLB,52.0,"Greenway, Chad",ACT,TCKL,68,SCK,2.5,FF,0,INT,1,MIN
DE,97.0,"Griffen, Everson",ACT,TCKL,44,SCK,10.5,FF,1,INT,--,MIN
DB,33.0,"Griffin, Michael",ACT,TCKL,101,SCK,1,FF,0,INT,1,MIN
RB,30.0,"Ham, C.J.",ACT,CAR,--,YDS,--,AVG,--,TDS,--,MIN
SS,41.0,"Harris, Anthony",ACT,TCKL,15,SCK,0,FF,0,INT,--,MIN
QB,6.0,"Heinicke, Taylor",ACT,TDS,--,INT,--,YDS,--,RTG,0,MIN
QB,13.0,"Hill, Shaun",ACT,TDS,0,INT,0,YDS,15,RTG,39.6,MIN
DE,99.0,"Hunter, Danielle",ACT,TCKL,33,SCK,6,FF,1,INT,--,MIN
WR,12.0,"Johnson, Charles",ACT,REC,9,YDS,127,AVG,14.1,TDS,0,MIN
DT,69.0,"Johnson, Toby",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIN
DT,92.0,"Johnson, Tom",ACT,TCKL,36,SCK,5.5,FF,0,INT,--,MIN
DT,98.0,"Joseph, Linval",ACT,TCKL,56,SCK,0.5,FF,1,INT,--,MIN
SAF,27.0,"Kearse, Jayron",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIN
MLB,54.0,"Kendricks, Eric",ACT,TCKL,92,SCK,4,FF,0,INT,--,MIN
LB,59.0,"Lamur, Emmanuel",ACT,TCKL,40,SCK,0.5,FF,1,INT,--,MIN
TE,87.0,"Leonhardt, Brian",ACT,REC,1,YDS,4,AVG,4,TDS,0,MIN
FB,48.0,"Line, Zach",ACT,CAR,6,YDS,10,AVG,1.7,TDS,2,MIN
P,18.0,"Locke, Jeff",ACT,PUNTS,66,AVG,41.6,LNG,61,IN 20,23,MIN
DT,74.0,"Louis, Claudell",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIN
RB,21.0,"McKinnon, Jerick",ACT,CAR,52,YDS,271,AVG,5.2,TDS,2,MIN
WR,9.0,"Michel, Marken",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIN
RB,39.0,"Monangai, Kevin",ACT,CAR,--,YDS,--,AVG,--,TDS,--,MIN
DE,91.0,"Moore, Zach",ACT,TCKL,0,SCK,--,FF,--,INT,--,MIN
TE,89.0,"Morgan, David",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIN
CB,24.0,"Munnerlyn, Captain",ACT,TCKL,55,SCK,1,FF,1,INT,2,MIN
CB,23.0,"Newman, Terence",ACT,TCKL,62,SCK,0,FF,0,INT,3,MIN
WR,84.0,"Patterson, Cordarrelle",ACT,REC,2,YDS,10,AVG,5,TDS,0,MIN
DE,62.0,"Perine, Denzell",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIN
RB,28.0,"Peterson, Adrian",ACT,CAR,327,YDS,1485,AVG,4.5,TDS,11,MIN
LB,50.0,"Plummer, Terrance",ACT,TCKL,1,SCK,0,FF,0,INT,--,MIN
RB,42.0,"Pressley, Jhurrell",ACT,CAR,--,YDS,--,AVG,--,TDS,--,MIN
CB,25.0,"Price, Jabari",ACT,TCKL,0,SCK,--,FF,--,INT,--,MIN
TE,83.0,"Pruitt, MyCole",ACT,REC,10,YDS,89,AVG,8.9,TDS,0,MIN
DE,60.0,"Raciti, Travis",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIN
RB,49.0,"Renaud, Blake",ACT,CAR,--,YDS,--,AVG,--,TDS,--,MIN
CB,29.0,"Rhodes, Xavier",ACT,TCKL,58,SCK,0,FF,0,INT,1,MIN
DB,36.0,"Roberson, Tre",ACT,TCKL,--,SCK,--,FF,--,INT,--,MIN
OLB,51.0,"Robinson, Edmond",ACT,TCKL,10,SCK,0,FF,0,INT,--,MIN
DE,96.0,"Robison, Brian",ACT,TCKL,34,SCK,5,FF,1,INT,--,MIN
TE,82.0,"Rudolph, Kyle",ACT,REC,49,YDS,495,AVG,10.1,TDS,5,MIN
SS,34.0,"Sendejo, Andrew",ACT,TCKL,74,SCK,0.5,FF,0,INT,1,MIN
CB,35.0,"Sherels, Marcus",ACT,TCKL,8,SCK,0,FF,0,INT,--,MIN
WR,16.0,"Sinkfield, Terrell",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIN
FS,22.0,"Smith, Harrison",ACT,TCKL,66,SCK,1.5,FF,1,INT,2,MIN
QB,2.0,"Stave, Joel",ACT,TDS,--,INT,--,YDS,--,RTG,--,MIN
DT,93.0,"Stephen, Shamar",ACT,TCKL,3,SCK,0,FF,0,INT,--,MIN
WR,1.0,"Stoudermire, Troy",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIN
WR,19.0,"Thielen, Adam",ACT,REC,12,YDS,144,AVG,12,TDS,0,MIN
DE,94.0,"Trattou, Justin",ACT,TCKL,2,SCK,0,FF,0,INT,2,MIN
WR,11.0,"Treadwell, Laquon",ACT,REC,--,YDS,--,AVG,--,TDS,--,MIN
K,3.0,"Walsh, Blair",ACT,FGA,39,FGM,34,PCT,87.2,LNG,54,MIN
OLB,58.0,"Watts, Brandon",ACT,TCKL,7,SCK,0,FF,1,INT,--,MIN
WR,82.0,"Randle, Rueben",ACT,REC,57,YDS,797,AVG,14,TDS,8,PHI
DB,30.0,"Reynolds, Ed",ACT,TCKL,21,SCK,0,FF,0,INT,1,PHI
DB,35.0,"Rice, Denzel",ACT,TCKL,0,SCK,--,FF,--,INT,--,PHI
CB,32.0,"Rowe, Eric",ACT,TCKL,31,SCK,0,FF,0,INT,1,PHI
WR,89.0,"Rush, Xavier",ACT,REC,--,YDS,--,AVG,--,TDS,--,PHI
WR,14.0,"Sharp, Hunter",ACT,REC,--,YDS,--,AVG,--,TDS,--,PHI
CB,36.0,"Shepherd, JaCorey",ACT,TCKL,--,SCK,--,FF,--,INT,--,PHI
DE,61.0,"Shittu, Aziz",ACT,TCKL,--,SCK,--,FF,--,INT,--,PHI
LB,54.0,"Skinner, Deontae",ACT,TCKL,--,SCK,--,FF,--,INT,--,PHI
RB,28.0,"Smallwood, Wendell",ACT,CAR,--,YDS,--,AVG,--,TDS,--,PHI
CB,37.0,"Smith, C.J.",ACT,TCKL,--,SCK,--,FF,--,INT,--,PHI
DE,90.0,"Smith, Marcus",ACT,TCKL,7,SCK,1.5,FF,0,INT,--,PHI
RB,43.0,"Sproles, Darren",ACT,CAR,83,YDS,317,AVG,3.8,TDS,3,PHI
K,6.0,"Sturgis, Caleb",ACT,FGA,22,FGM,18,PCT,81.8,LNG,53,PHI
LB,45.0,"Tavarres, Myke",ACT,TCKL,--,SCK,--,FF,--,INT,--,PHI
WR,80.0,"Turner, Paul",ACT,REC,--,YDS,--,AVG,--,TDS,--,PHI
DT,77.0,"Vaeao, Destiny",ACT,TCKL,--,SCK,--,FF,--,INT,--,PHI
ILB,59.0,"Walker, Joe",ACT,TCKL,--,SCK,--,FF,--,INT,--,PHI
WR,9.0,"Watford, David",ACT,REC,--,YDS,--,AVG,--,TDS,--,PHI
DB,26.0,"Watkins, Jaylen",ACT,TCKL,4,SCK,0,FF,0,INT,--,PHI
QB,11.0,"Wentz, Carson",ACT,TDS,--,INT,--,YDS,--,RTG,--,PHI
DT,74.0,"Wujciak, Connor",RES,TCKL,--,SCK,--,FF,--,INT,--,PHI
DE,92.0,"Baker, Chris",ACT,TCKL,53,SCK,6,FF,3,INT,--,WAS
LB,96.0,"Bates, Houston",ACT,TCKL,10,SCK,0,FF,0,INT,--,WAS
CB,41.0,"Blackmon, Will",ACT,TCKL,49,SCK,1,FF,3,INT,2,WAS
CB,26.0,"Breeland, Bashaud",ACT,TCKL,81,SCK,0,FF,3,INT,2,WAS
RB,34.0,"Brown, Mack",ACT,CAR,--,YDS,--,AVG,--,TDS,--,WAS
DB,30.0,"Bruton, David",ACT,TCKL,49,SCK,1,FF,2,INT,2,WAS
TE,89.0,"Carrier, Derek",ACT,REC,17,YDS,141,AVG,8.3,TDS,1,WAS
CB,25.0,"Carrington, Lloyd",ACT,TCKL,--,SCK,--,FF,--,INT,--,WAS
ILB,51.0,"Compton, Will",ACT,TCKL,96,SCK,1,FF,0,INT,1,WAS
DB,32.0,"Cooper, Mariel",ACT,TCKL,--,SCK,--,FF,--,INT,--,WAS
QB,8.0,"Cousins, Kirk",ACT,TDS,29,INT,11,YDS,4166,RTG,101.6,WAS
DB,36.0,"Cravens, Su'a",ACT,TCKL,--,SCK,--,FF,--,INT,--,WAS
DE,95.0,"Crawford, Corey",ACT,TCKL,--,SCK,--,FF,--,INT,--,WAS
WR,80.0,"Crowder, Jamison",ACT,REC,59,YDS,604,AVG,10.2,TDS,2,WAS
ILB,53.0,"Daniels, Steven",RES,TCKL,--,SCK,--,FF,--,INT,--,WAS
LB,57.0,"Davis, Shiro",ACT,TCKL,--,SCK,--,FF,--,INT,--,WAS
TE,85.0,"Davis, Vernon",ACT,REC,38,YDS,395,AVG,10.4,TDS,0,WAS
WR,17.0,"Diggs, Reggie",ACT,REC,--,YDS,--,AVG,--,TDS,--,WAS
WR,18.0,"Doctson, Josh",ACT,REC,--,YDS,--,AVG,--,TDS,--,WAS
CB,47.0,"Dunbar, Quinton",ACT,TCKL,13,SCK,0,FF,0,INT,1,WAS
LB,40.0,"Ederaine, Ejiro",ACT,TCKL,--,SCK,--,FF,--,INT,--,WAS
CB,22.0,"Everett, Deshazor",ACT,TCKL,16,SCK,0,FF,0,INT,--,WAS
LB,59.0,"Fields, Carlos",ACT,TCKL,4,SCK,0,FF,0,INT,--,WAS
ILB,54.0,"Foster, Mason",ACT,TCKL,37,SCK,0,FF,1,INT,--,WAS
CB,38.0,"Fuller, Kendall",ACT,TCKL,--,SCK,--,FF,--,INT,--,WAS
WR,88.0,"Garcon, Pierre",ACT,REC,72,YDS,777,AVG,10.8,TDS,6,WAS
LB,52.0,"Garvin, Terence",ACT,TCKL,9,SCK,0,FF,0,INT,--,WAS
DE,64.0,"Golston, Kedric",ACT,TCKL,10,SCK,0,FF,0,INT,--,WAS
WR,14.0,"Grant, Ryan",ACT,REC,23,YDS,268,AVG,11.7,TDS,2,WAS
SS,23.0,"Hall, DeAngelo",ACT,TCKL,48,SCK,0,FF,1,INT,--,WAS
DB,37.0,"Harris, Jeremy",ACT,TCKL,1,SCK,0,FF,0,INT,--,WAS
WR,13.0,"Harris, Maurice",ACT,REC,--,YDS,--,AVG,--,TDS,--,WAS
DE,73.0,"Hood, Ziggy",ACT,TCKL,0,SCK,--,FF,--,INT,--,WAS
